date,country,active_device_installs
20130227,GB,38
20130228,GB,1051
20130228,FR,1
20130228,ES,2
20130301,GB,5184
20130301,FR,3
20130301,ES,5
20130301,US,2
20130302,GB,7252
20130302,FR,3
20130302,ES,5
20130302,US,8
20130302,TH,2
20130303,GB,8519
20130303,FR,3
20130303,ES,5
20130303,US,12
20130303,TH,2
20130304,GB,9181
20130304,FR,5
20130304,ES,5
20130304,US,13
20130304,TH,3
20130305,GB,9564
20130305,FR,7
20130305,ES,5
20130305,US,13
20130305,TH,4
20130306,GB,9738
20130306,FR,7
20130306,ES,4
20130306,US,15
20130306,TH,6
20130307,GB,9867
20130307,FR,7
20130307,ES,4
20130307,US,21
20130307,TH,7
20130308,GB,10042
20130308,FR,7
20130308,ES,4
20130308,US,24
20130308,TH,7
20130309,GB,10150
20130309,FR,8
20130309,ES,7
20130309,US,26
20130309,TH,6
20130310,GB,10202
20130310,FR,10
20130310,ES,4
20130310,US,34
20130310,TH,5
20130311,GB,10290
20130311,FR,11
20130311,ES,4
20130311,US,36
20130311,TH,5
20130312,GB,10315
20130312,FR,11
20130312,ES,6
20130312,US,38
20130312,TH,3
20130313,GB,10373
20130313,FR,9
20130313,ES,8
20130313,US,39
20130313,TH,3
20130314,GB,10413
20130314,FR,13
20130314,ES,12
20130314,US,37
20130314,TH,4
20130315,GB,10524
20130315,FR,12
20130315,ES,11
20130315,US,39
20130315,TH,4
20130316,GB,10632
20130316,FR,11
20130316,ES,9
20130316,US,37
20130316,TH,2
20130317,GB,10726
20130317,FR,10
20130317,ES,9
20130317,US,36
20130317,TH,3
20130318,GB,10754
20130318,FR,11
20130318,ES,11
20130318,US,37
20130318,TH,5
20130319,GB,10816
20130319,FR,14
20130319,ES,11
20130319,US,39
20130319,TH,4
20130320,GB,10855
20130320,FR,17
20130320,ES,10
20130320,US,35
20130320,TH,4
20130321,GB,10927
20130321,FR,14
20130321,ES,10
20130321,US,38
20130321,TH,5
20130322,GB,11011
20130322,FR,17
20130322,ES,11
20130322,US,36
20130322,TH,5
20130323,GB,11057
20130323,FR,16
20130323,ES,13
20130323,US,35
20130323,TH,7
20130324,GB,11080
20130324,FR,16
20130324,ES,11
20130324,US,35
20130324,TH,7
20130325,GB,11128
20130325,FR,15
20130325,ES,11
20130325,US,31
20130325,TH,7
20130326,GB,11183
20130326,FR,13
20130326,ES,13
20130326,US,36
20130326,TH,7
20130327,GB,11249
20130327,FR,13
20130327,ES,13
20130327,US,41
20130327,TH,7
20130328,GB,11313
20130328,FR,13
20130328,ES,13
20130328,US,44
20130328,TH,8
20130329,GB,11373
20130329,FR,15
20130329,ES,14
20130329,US,41
20130329,TH,8
20130330,GB,11434
20130330,FR,16
20130330,ES,15
20130330,US,45
20130330,TH,9
20130331,GB,11444
20130331,FR,16
20130331,ES,16
20130331,US,49
20130331,TH,10
20130401,GB,11470
20130401,FR,15
20130401,ES,14
20130401,US,53
20130401,TH,9
20130402,GB,11529
20130402,FR,14
20130402,US,53
20130402,TH,9
20130402,ES,15
20130403,US,54
20130403,TH,9
20130403,GB,11581
20130403,FR,15
20130403,ES,16
20130404,US,58
20130404,TH,11
20130404,GB,11632
20130404,FR,16
20130404,ES,14
20130405,US,63
20130405,TH,10
20130405,GB,11699
20130405,FR,18
20130405,ES,16
20130406,US,66
20130406,TH,10
20130406,GB,11755
20130406,FR,16
20130406,ES,15
20130407,US,58
20130407,TH,10
20130407,GB,11810
20130407,FR,14
20130407,ES,15
20130408,US,58
20130408,TH,10
20130408,GB,11864
20130408,FR,14
20130408,ES,16
20130409,US,57
20130409,TH,8
20130409,GB,11919
20130409,FR,15
20130409,ES,19
20130410,US,51
20130410,TH,8
20130410,GB,12035
20130410,FR,12
20130410,ES,13
20130411,US,56
20130411,TH,7
20130411,GB,12097
20130411,FR,16
20130411,ES,12
20130412,US,55
20130412,TH,7
20130412,GB,12142
20130412,FR,15
20130412,ES,12
20130413,US,52
20130413,TH,7
20130413,GB,12206
20130413,FR,15
20130413,ES,11
20130414,US,52
20130414,TH,8
20130414,GB,12228
20130414,FR,14
20130414,ES,11
20130415,US,48
20130415,TH,6
20130415,GB,12297
20130415,FR,16
20130415,ES,8
20130416,US,49
20130416,TH,6
20130416,GB,12408
20130416,FR,15
20130416,ES,9
20130417,US,52
20130417,TH,6
20130417,GB,12459
20130417,FR,14
20130417,ES,9
20130418,US,51
20130418,TH,6
20130418,GB,12507
20130418,FR,14
20130418,ES,8
20130419,US,53
20130419,TH,6
20130419,GB,12589
20130419,FR,11
20130419,ES,11
20130420,US,54
20130420,TH,4
20130420,GB,12630
20130420,FR,15
20130420,ES,10
20130421,US,56
20130421,TH,6
20130421,GB,12675
20130421,FR,12
20130421,ES,9
20130422,US,54
20130422,TH,6
20130422,GB,12715
20130422,FR,11
20130422,ES,9
20130423,US,55
20130423,TH,7
20130423,GB,12767
20130423,FR,11
20130423,ES,11
20130424,US,56
20130424,TH,6
20130424,GB,12806
20130424,FR,9
20130424,ES,12
20130425,US,60
20130425,TH,7
20130425,GB,12882
20130425,FR,10
20130425,ES,13
20130426,US,68
20130426,TH,9
20130426,GB,12999
20130426,FR,15
20130426,ES,13
20130427,US,65
20130427,TH,9
20130427,GB,13089
20130427,FR,18
20130427,ES,18
20130428,US,60
20130428,TH,8
20130428,GB,13137
20130428,FR,15
20130428,ES,18
20130429,US,60
20130429,TH,9
20130429,GB,13232
20130429,FR,16
20130429,ES,20
20130430,US,55
20130430,TH,9
20130430,GB,13331
20130430,FR,14
20130430,ES,18
20130501,US,60
20130501,TH,10
20130501,GB,13347
20130501,FR,13
20130501,ES,23
20130502,US,63
20130502,TH,11
20130502,GB,13392
20130502,FR,12
20130502,ES,27
20130503,US,61
20130503,TH,11
20130503,GB,13490
20130503,FR,12
20130503,ES,21
20130504,US,64
20130504,TH,11
20130504,GB,13544
20130504,FR,11
20130504,ES,20
20130505,US,69
20130505,TH,12
20130505,GB,13558
20130505,FR,12
20130505,ES,20
20130506,US,69
20130506,TH,13
20130506,GB,13594
20130506,FR,10
20130506,ES,21
